sailnumber	name	type
GER/GER6749		A-27 DK
GER/GER7202		SPW 9.5
SUI/SUI206		M 7.50
SUI/SUI043		mOcean 26
SUI/SUI118		Dolphin 81
NED/NED6560		Dehler 28x1.35
NED/NED7535		Dehler 39
NED/NED9477		J-97
NOR/NOR13533		Cruella deVil	Sunfast 3200
ESP/ESP8682	 ARNOIA	RO 340
ESP/ESP9081	 SANTIAGO ROMA R. BAIXAS	FORTUNA 9
ESP/ESP8736	 S’AVENC	SALONA 37 LK
NED/NED4941	"Skip Intro"	F & F 95 STD
ITA/ITA25287	"THAT'S AMORE!"	PLATU 25 OD
NED/NED3824	'T SPANWIL IV	J-44 (Mod.)
NOR/NOR608	(It&acute;s a) Fairytale	J/80
GER/GER7685	(T)RAUM	EMKA 36
NED/NED7953	--	Dehler 34SV
SUI/SUI242	1001 NACHT 	Aphrodite 101
JPN/JPN1122	1122TREKKEE	MUIR 40
ITA/ITA18K	18 K	RIGOLETTO
NED/NED8863	18+	Maxfun 25
ITA/ITA10068	1982	SHOW 24
ITA/ITA13460	2 ALFA 2	GRAND SOLEIL 341
ESP/ESP10493_C	27 DE DICIEMBRE	TELIGA 890
NED/GBR2020N	4 Fun	Dehler 38
SUI/SUI057	4 VENTI	ESSE 850
NED/NED8365	4 seasons	Dufour 365 GL
FRA/ITA14505	4D	A-40 Mod
CAN/CAN38	65 Red Roses (II)	J 111
ITA/ITA25227	6BIZZOSA	PLATU 25 OD
AUT/AUT2664	70170	Z 34
ESP/ESP8045	78 DE MAYO	IMX 45
NED/NED3969	8 Modified	8 MOD
GER/GER2348	A QUATRE	SHOW 34
ITA/ITA581MET	A'FENESTELLA	METEOR
NOR/NOR12515	A-Game	Elan 410
RSA/SA630	A-L	Farr 38
GER/GER7143	ABACUS	X-43
ESP/ESP10261_C	ABDERA	FIRST 235
ESP/ESP7557	ABELARDO UNO	DUFOUR 34
ITA/FRA17514	ABI	FIRST 33.7 (DK)
ESP/ESP9304_C	ABOLO III	GRANADA 35
AUS/7700	ABOUT TIME	COOKSON 50
AUS/5612	ABRACADABRA	TRIP 47
GRE/SWE11	ABSOLUT MELISSA	BAVARIA 40 CRUISER
GER/J357777	ABSOLUTE BEGINNERS	J-35
BRA/BRA2152	ABSOLUTO	FIRST 40.7
ESP/ESP10299_C	ACALA	SUPER DAIMIO 28
ITA/ITA079J24	ACHAB	J-24
GRE/GRE113	ACOOL TURABI	SWAN 82 RS 3.88
FRA/ITA12332	ACQUERELLA	FARR 31
ITA/ITAACTIN	ACTINIAS	MARCHI 39
ITA/ITAACUBE	ACUBE	DUFOUR 385 GL
ESP/ESP3108_C	ADAGI 3108	OPTIMA 101
GRE/GRE1756	ADAGIO	BAVARIA 40 CRUISER
GER/GER4664	ADAMAS	LUFFE 43/97
ESP/ESP10495_C	ADDIS	RO 340
NED/NED6989	ADDY	v.d. Stadt 34
ITA/FIN11703	ADELANTE	NEXT 37
EST/EST467	ADELE	First 34.7
ITA/ITA10843	ADELMA II	EC 37
ESP/GBR3757	ADMIRABLE 	RED ADMIRAL
ESP/GBR3757_R	ADMIRABLE 	RED ADMIRAL
GRE/GRE1221	ADRA	FIRST 31.7
ITA/ITA17282	ADRIGOLE	BALTIC 43
GRE/GRE10	AEGEAS	IMX-38
GRE/GRE1418	AEGLI	Bavaria 36 Cruiser
